account_id,account_type,account_age_days,kyc_status,device_hash,ip_subnet,is_mule
aee95a10,WALLET,821,FULL,DEV_LEGIT_827c0b8c,192.168.7.0/24,0
87aeaeb8,WALLET,1491,FULL,DEV_LEGIT_d4caaf0b,192.168.63.0/24,0
e4b95d50,SAVINGS,936,FULL,DEV_LEGIT_6104587d,192.168.189.0/24,0
0a84fde8,SAVINGS,2598,FULL,DEV_LEGIT_5c585cf2,192.168.23.0/24,0
b7d77977,WALLET,2093,FULL,DEV_LEGIT_b3b65b73,192.168.9.0/24,0
1099805d,SAVINGS,748,FULL,DEV_LEGIT_be24b3b0,192.168.56.0/24,0
962085cf,SAVINGS,2434,FULL,DEV_LEGIT_0ab77cd9,192.168.155.0/24,0
5f552001,SAVINGS,2663,FULL,DEV_LEGIT_a6ab0c64,192.168.51.0/24,0
336243c6,WALLET,2597,FULL,DEV_LEGIT_9be4e73f,192.168.108.0/24,0
57983c44,SAVINGS,2204,FULL,DEV_LEGIT_5f5f21e7,192.168.151.0/24,0
b4979524,CURRENT,391,FULL,DEV_LEGIT_297e631e,192.168.195.0/24,0
640767ec,SAVINGS,2096,FULL,DEV_LEGIT_c8065581,192.168.88.0/24,0
b75914c4,CURRENT,1001,FULL,DEV_LEGIT_700991b9,192.168.56.0/24,0
b465d87a,CURRENT,783,FULL,DEV_LEGIT_fc04a9d8,192.168.24.0/24,0
7d568964,CURRENT,761,FULL,DEV_LEGIT_8b1f6b14,192.168.92.0/24,0
592d76cb,CURRENT,2837,FULL,DEV_LEGIT_d6041f27,192.168.68.0/24,0
5debd0ac,SAVINGS,2246,FULL,DEV_LEGIT_934ceeea,192.168.138.0/24,0
5ad45fdb,SAVINGS,1915,FULL,DEV_LEGIT_04994dba,192.168.21.0/24,0
e0eae72c,WALLET,1565,FULL,DEV_LEGIT_2c29eeff,192.168.213.0/24,0
529ae334,WALLET,2898,FULL,DEV_LEGIT_3aaf77df,192.168.227.0/24,0
b4fd6cd1,CURRENT,2729,FULL,DEV_LEGIT_6961ef5e,192.168.50.0/24,0
285a73bf,WALLET,649,FULL,DEV_LEGIT_3bd7c1df,192.168.12.0/24,0
