txn_id,timestamp,sender,receiver,amount,rail,device_hash,ip_subnet,dwell_time_seconds,is_structured,shared_hash,is_fraud
16f8e178-c8c5-4244-9586-511b50083084,2026-08-24 13:27:39.183329,cd6ac9d2,e9dc90f0,25720.34,UPI,DEV_LEGIT_94a8562a,192.168.33.0/24,100967,0,,0
b7901d4e-d540-45fa-af3c-e2345781206d,2026-07-31 16:47:14.991369,9afe2a15,b7d77977,11737.53,UPI,DEV_LEGIT_705ee1a2,192.168.95.0/24,92684,0,,0
dfa416e5-0586-435d-8842-7532ba93c2b5,2026-08-07 05:16:50.369656,81458f5a,fd0f8b19,264.99,UPI,DEV_LEGIT_ac8c3217,192.168.16.0/24,381750,0,,0
a5eb7f16-18ac-4b08-92cb-6479ad1491e1,2026-08-11 21:39:06.448869,af4cf073,9a9baa2f,4685.31,BANK,DEV_LEGIT_03b827b8,192.168.181.0/24,162580,0,,0
451cf608-7a19-4a70-b38e-a9a0ea732874,2026-08-18 12:42:34.471668,9ad51572,15abd17d,84472.46,BANK,DEV_MULE_75850c,10.0.8.0/24,46,0,CORR_0b1ba59e,1
b5f7ce61-f3ef-4009-bb3c-4c758593cdb2,2026-08-20 00:50:45.254445,01f494d4,f0f5a7cd,2798.29,WALLET,DEV_LEGIT_a7b55d11,192.168.55.0/24,200223,0,,0
ae1280e0-1bf9-4415-a086-31bb60688481,2026-08-24 21:29:22.030459,9cca5758,6fbf386a,9664.42,UPI,DEV_MULE_d5e8b1,10.0.8.0/24,554,1,,1
fa6c7881-4bac-4dc0-a860-67ec760d46db,2026-07-29 14:37:12.139477,562854d2,fd0f8b19,1670.1,UPI,DEV_LEGIT_b1068f25,192.168.113.0/24,268509,0,,0
edf95593-e314-4c6a-8495-34dd4b325726,2026-08-03 11:03:20.288386,2da16537,9a9baa2f,8133.6,WALLET,DEV_LEGIT_1ea832ce,192.168.242.0/24,403493,0,,0
37bbeace-e724-4653-b131-71e06adb1924,2026-08-22 08:25:26.025046,461c8dc2,57983c44,2732.21,WALLET,DEV_LEGIT_4cbc4e55,192.168.136.0/24,194740,0,,0
465a1c03-8053-41fc-8ba6-f8f4587edf56,2026-08-11 03:06:08.652378,56f15128,37da0dea,1961.39,BANK,DEV_LEGIT_7aef0e2d,192.168.225.0/24,30526,0,,0
6e16a7e0-9d70-4cf4-ab72-84af03122b01,2026-08-04 11:23:57.478732,02f9e62c,ac0ed040,647.23,UPI,DEV_LEGIT_ee4e6a87,192.168.243.0/24,305526,0,,0
f252897e-94f7-4e63-a609-8029f7582173,2026-08-08 12:30:55.798607,336243c6,529ae334,3890.57,WALLET,DEV_LEGIT_9be4e73f,192.168.108.0/24,353937,0,,0
34f4d106-883a-41ce-a101-67428a2414c0,2026-08-26 18:50:31.080383,562307b5,562854d2,10894.93,WALLET,DEV_LEGIT_d6c7e7a5,192.168.55.0/24,320949,0,,0
