session_id,event_id,agent_id,developer_id,consent_id,consent_type,max_amount,allowed_merchant_categories,time_window_start,time_window_end,token_id,nonce,task_id,token_context_hash,event_context_hash,issued_at,used_at,merchant_id,merchant_category,amount,currency,device_fingerprint,ip_address,geo_label,geo_lat,geo_lon,channel,label,drift_profile,pair_id
sess_1bef21560eb6,evt_036d58c9de95,agent_braintree_flow,dev_braintree_partner,consent_41a752b92570,single-use,986.38,grocery;home_goods,2026-08-20T04:00:00+00:00,2026-08-23T04:00:00+00:00,tok_02587d9a6ce8,c662067f18ba4b59a9f1d4fc115a0559,task_8749f4282e41,0cb61aa7896ab114fff41a4041373be6e1aafb089b2d39fb00a0ab773f75b5a8,0cb61aa7896ab114fff41a4041373be6e1aafb089b2d39fb00a0ab773f75b5a8,2026-08-20T04:24:00+00:00,2026-08-20T04:30:37+00:00,merch_instacart,grocery,542.77,EUR,dev_228eeb7171f0,155.86.152.215,"Tokyo,JP",35.6762,139.6503,agent-web,legitimate,n/a,sess_1bef21560eb6
sess_9b24366f54f6,evt_c5c747f3848a,agent_braintree_flow,dev_braintree_partner,consent_fe1b06649e0a,single-use,295.54,subscription,2026-08-01T01:00:00+00:00,2026-08-08T01:00:00+00:00,tok_e829f3e61419,526e4e9dd65f44a7a60476e7a934bb8a,task_39606c57f3f6,6a36bb3965afa9bc8dd96bca46bc900532ac637afc316787a1ed0de3ca6fbb75,6a36bb3965afa9bc8dd96bca46bc900532ac637afc316787a1ed0de3ca6fbb75,2026-08-01T01:06:00+00:00,2026-08-01T01:08:23+00:00,merch_spotify,subscription,244.81,INR,dev_29228094639b,137.152.136.232,"Singapore,SG",1.3521,103.8198,agent-web,legitimate,n/a,sess_9b24366f54f6
sess_c46232e8ab57,evt_bcc0ec6e8242,agent_manus_auto,dev_manus_inc,consent_beb44c086d2e,single-use,962.81,apparel;entertainment,2026-08-16T05:00:00+00:00,2026-08-16T11:00:00+00:00,tok_57ee874a31fd,0abfb3cc30f44ae887b585c341981f1a,task_553ae58c6e74,e6e283dedc3e6bc4d9a7028443899536c434fb92efbbbaa2cdba47ff30e325da,e6e283dedc3e6bc4d9a7028443899536c434fb92efbbbaa2cdba47ff30e325da,2026-08-16T05:05:00+00:00,2026-08-16T05:09:26+00:00,merch_uniqlo,apparel,859.82,EUR,dev_591985182394,11.137.114.70,"Tokyo,JP",35.6762,139.6503,agent-to-agent,legitimate,n/a,sess_c46232e8ab57
sess_58008ba69ad0,evt_0bfc95417980,agent_openai_shopgpt,dev_openai,consent_5f74709e8aaf,recurring,728.62,subscription;travel,2026-08-13T15:00:00+00:00,2026-08-14T15:00:00+00:00,tok_abca1762cbbe,8ccf186dc737425d9fcfeec9f0b74f76,task_731e63691565,2953383bf66c2700a2ae0325aec5d3244b21c60e2a8d648f4fcec9555dad629a,2953383bf66c2700a2ae0325aec5d3244b21c60e2a8d648f4fcec9555dad629a,2026-08-13T15:13:00+00:00,2026-08-13T15:14:46+00:00,merch_spotify,subscription,693.57,GBP,dev_2f3cbb6c9ec5,186.14.127.101,"London,GB",51.5074,-0.1278,agent-app,legitimate,n/a,sess_58008ba69ad0
sess_ab1b86d9ff18,evt_67c11ecdab5e,agent_msft_copilot_pay,dev_microsoft,consent_03b0e0239ac9,single-use,1156.19,dining,2026-08-08T16:00:00+00:00,2026-08-09T16:00:00+00:00,tok_360ba07cbd6f,ed94ac999cee4394bc69606b355758ea,task_0902e0b918ed,5d0dbfec6e947c40a939d557991aeeb7397ad59a046351a596b4e3f65d7f89bc,5d0dbfec6e947c40a939d557991aeeb7397ad59a046351a596b4e3f65d7f89bc,2026-08-08T16:27:00+00:00,2026-08-08T16:36:37+00:00,merch_ubereats,dining,956.51,USD,dev_1fbc1d9f9756,69.252.150.108,"Paris,FR",48.8566,2.3522,agent-app,legitimate,n/a,sess_ab1b86d9ff18
sess_96fcaa6349d1,evt_55ccb2124fd5,agent_perplexity_comm,dev_perplexity,consent_c6dda3b125fe,single-use,203.96,grocery,2026-08-09T22:00:00+00:00,2026-08-12T22:00:00+00:00,tok_e6506f89eac6,a2ee6c5d00ed4ad3b48c2ef2e0e4fade,task_bf37728a90e7,121b1c23dc01ed619f2c71e3913902974a45c845ecdb9b6af31bb50d4d386b21,121b1c23dc01ed619f2c71e3913902974a45c845ecdb9b6af31bb50d4d386b21,2026-08-09T22:22:00+00:00,2026-08-09T22:31:10+00:00,merch_instacart,grocery,148.13,INR,dev_7f97e3842195,96.255.228.238,"Singapore,SG",1.3521,103.8198,agent-web,legitimate_retry,n/a,sess_96fcaa6349d1
sess_5192350f6095,evt_9361a2d617b5,agent_openai_shopgpt,dev_openai,consent_41ab580da79f,single-use,529.65,grocery,2026-08-20T00:00:00+00:00,2026-08-20T01:00:00+00:00,tok_a728adcbc7a6,3c789fbdbde44568823ce59e5357c052,task_60e9a92bf7b4,805a2eaa0d07dc7d55e559a5409644e70b4523a0a2653d8abb48227124d276ae,805a2eaa0d07dc7d55e559a5409644e70b4523a0a2653d8abb48227124d276ae,2026-08-20T00:09:00+00:00,2026-08-20T00:15:27+00:00,merch_instacart,grocery,447.08,INR,dev_cac0bc058927,58.80.115.219,"Tokyo,JP",35.6762,139.6503,agent-to-agent,legitimate_retry,n/a,sess_5192350f6095
sess_2cb93e2b580a,evt_b71570cf7ab2,agent_openai_shopgpt,dev_openai,consent_a544228c0f22,single-use,1059.75,apparel,2026-08-01T10:00:00+00:00,2026-08-04T10:00:00+00:00,tok_a1058dd8d890,f80ce973e6424dc3861f425c9e378cd6,task_4847004fc175,3b22594ca0141667bd8f83089712ac3f58031fb68a8b539fc210232e97921691,3b22594ca0141667bd8f83089712ac3f58031fb68a8b539fc210232e97921691,2026-08-01T10:16:00+00:00,2026-08-01T10:16:15+00:00,merch_zara,apparel,518.03,INR,dev_059e260181c6,217.93.58.157,"Sydney,AU",-33.8688,151.2093,agent-app,legitimate,n/a,sess_2cb93e2b580a
sess_6ae41f91e751,evt_fcaad481bbab,agent_manus_auto,dev_manus_inc,consent_921526b27ab1,single-use,1115.25,entertainment,2026-08-12T00:00:00+00:00,2026-08-13T00:00:00+00:00,tok_22b3dff54105,a80adc7d59dc41e7bcd062d940f2ac29,task_869a37792937,5857d107baec290257a65619d0aa4754585b7c22c617fbe40fe4e04a017c72d4,5857d107baec290257a65619d0aa4754585b7c22c617fbe40fe4e04a017c72d4,2026-08-12T00:18:00+00:00,2026-08-12T00:44:54.748623+00:00,merch_ticketmaster,entertainment,593.19,USD,dev_0e8a69c47138,198.218.192.50,"Singapore,SG",1.3521,103.8198,agent-to-agent,legitimate,n/a,sess_6ae41f91e751
sess_695674b2b866,evt_db44495fe55e,agent_amazon_rufus,dev_amazon,consent_3d50552855ba,single-use,462.82,electronics,2026-08-07T17:00:00+00:00,2026-08-10T17:00:00+00:00,tok_5834da758803,708f93b8d813402a848499bd53ce3424,task_5c2fb0bf810f,791e340ec5d192681fb1402a1e8a9f1d115f7f92a2ea09ca9f1f00f9511e86c0,791e340ec5d192681fb1402a1e8a9f1d115f7f92a2ea09ca9f1f00f9511e86c0,2026-08-07T17:07:00+00:00,2026-08-07T17:15:33+00:00,merch_newegg,electronics,95.88,USD,dev_512a45970514,149.136.149.47,"Singapore,SG",1.3521,103.8198,agent-web,legitimate,n/a,sess_695674b2b866
